EXP/Student,DIST
10.7768595,0.046269639
10.62454874,0.046329997
13.68947368,0.042483143
9.650321543,0.046372014
9.732779097,0.046391551
11.05744125,0.046120707
11.0295421,0.046137697
22.2746988,0.01692869
9.768944099,0.046398774
18.46805835,0.028793618
10.423247,0.046387524
10.11805188,0.046426255
9.558231488,0.04634516
9.562352941,0.046346475
8.99274135,0.046064462
10.73333333,0.046288364
11.48604993,0.04579976
33.83836207,0.001012029
9.181818182,0.046180377
13.73696145,0.042383683
11.73087819,0.04556653
11.73947896,0.045557686
15.99193048,0.036609386
10.88059701,0.046220261
15.9304447,0.03678946
13.46532438,0.042938061
9.593764121,0.046356151
9.606219427,0.046359816
11.52638191,0.045763812
10.63147139,0.046327567
9.395842747,0.046284891
13.07958478,0.043662752
10.41827204,0.046388624
10.10923397,0.046426504
14.04524887,0.041712643
9.704697987,0.046385376
11.85402685,0.04543572
9.351160741,0.046265423
16.99418605,0.033552199
19.49883991,0.025424251
11.2231405,0.046009935
11.35577605,0.045909154
13.92411924,0.04198147
9.194807586,0.04618753
11.51474926,0.045774281
9.466965648,0.046313314
12.84090909,0.044072765
8.324924925,0.045480794
8.851178451,0.045963296
9.442797591,0.046304009
16.25891376,0.035816362
10.29279395,0.046411239
9.062654902,0.046109891
10.91251218,0.046203726
16.20567823,0.035975877
11.09140925,0.046099374
15.01968912,0.039326403
10.67498783,0.046311611
10.9151175,0.046202348
16.91605302,0.033797587
12.21455087,0.045001753
11.02203305,0.046142188
10.52323929,0.04636212
11.27689279,0.045970385
13.99810108,0.041818063
0,0.023368315
11.70523139,0.045592642
20.16762178,0.023272258
42.03292181,4.59257E-05
9.929606625,0.046420935
12.61538462,0.044432213
11.50746269,0.045780797
11.125,0.04607758
14.33193277,0.041050722
12.87407407,0.044017594
11.04523425,0.0461282
9.494680851,0.046323535
9.721166033,0.046389057
9.870214395,0.046414632
10.712,0.04629711
10.63855422,0.046325051
8.62295082,0.045774496
10.01680672,0.046426172
10.62993763,0.046328108
10.97641857,0.046168719
8.384651163,0.045543892
7.540275049,0.044460012
